2tita [ï¿½],d [A],sqrt(h^2+k^2+lï¿½),inv_suma_cuad,lambda [A]
"23,3026","3,81737196493991","1,73205080756888","0,577350269189626","1,541874"
"27,0014","3,30226206813733",2,"0,5",
"38,542","2,33591330067837","2,82842712474619","0,353553390593274",
"45,5775","1,99036454933957","3,3166247903554","0,301511344577764",
"47,6776","1,9074817841457","3,46410161513775","0,288675134594813",
"55,6601","1,65135729208489",4,"0,25",
"61,194","1,51462187300553","4,35889894354067","0,229415733870562",
"62,9366","1,47681513881197","4,47213595499958","0,223606797749979",
"69,7536","1,34823099669809","4,89897948556636","0,204124145231932",
